id;title;type;classification
47652;Cochlear Implants Versus Hearing Aids in a Middle-Income Country: Costs, Productivity, and Quality of Life;ARTICLE;health systems
43877;Cochlear Implants versus hearing aids in a middle income country: costs, productivity and quality of life;ARTICLE;health systems
47660;Economic evaluation of Kangaroo Mother Care: cost utility analysis of results from a randomized controlled trial conducted in Bogotá;ARTICLE;health systems
97279;Exact bidirectional algorithm for the least expected travel-time path problem on stochastic and time-dependent networks;ARTICLE;transportation systems
83681;Optimal waterflooding management using an embedded predictive analytical model;ARTICLE;energy systems
107037;Pedestrian evacuation planning: Unveiling evacuation routes via column generation;ARTICLE;urban systems
96519;Smart pooling: AI-powered COVID-19 informative group testing;ARTICLE;health systems
79915;A column-oriented optimization approach for the generation of correlated random vectors;ARTICLE;production systems
79735;Is the built-environment at origin, on route, and at destination associated with bicycle commuting? A gender-informed approach;ARTICLE;transportation systems
79916;On the shortest alpha-reliable path problem;ARTICLE;transportation systems
80095; El papel de la ingeniería en la pandemia de COVID-19;ARTICLE;urban systems
66744;An exact bidirectional pulse algorithm for the constrained shortest path;ARTICLE;transportation systems
60287;Combined maintenance and routing optimization for large-scale sewage cleaning;ARTICLE;transportation systems
60243;Evacuation dynamics: a modeling and visualization framework;ARTICLE;transportation systems
66745;Improving harvesting operations in an oil palm plantation;ARTICLE;agricultural systems
67410;Integrated planning decisions in the broiler chicken supply chain;ARTICLE;agricultural systems
66743;Level of traffic stress-based classification: A clustering approach for Bogotá, Colombia;ARTICLE;urban systems
63908;Time Estimation and Hotspot Detection in the Evacuation of a Complex of Buildings: A Mesoscopic Approach and Case Study;ARTICLE;transportation systems
60364;An exact method for a class of robust shortest path problems with scenarios;ARTICLE;transportation systems
60517;Optimization model for urban air quality policy design: A case study in Latin America;ARTICLE;health systems
52876;Robust DEA-centric Location-based Decision Support System for Expanding Recreovía Hubs in the City of Bogotá;ARTICLE;urban systems
45334;A DEA-centric decision support system for evaluating Ciclovia-Recreativa programs in the Americas;ARTICLE;urban systems
56136;Capiro: La Ingeniería de las Flores;ARTICLE;agricultural systems
34219;Linear solution schemes for Mean-SemiVariance Project portfolio selection problems: An application in the oil and gas industry;ARTICLE;energy systems
25857;An exact algorithm for the elementary shortest path problem with resource constraints;ARTICLE;transportation systems
31322;On modeling stochastic travel and service times in vehicle routing;ARTICLE;transportation systems
31309;On the Combined Maintenance and Routing Optimization Problem;ARTICLE;transportation systems
33408;On the preventive management of sediment-related sewer blockages: A combined maintenance and routing optimization approach;ARTICLE;transportation systems
30354;The Interdependent Network Design Problem for Optimal Infrastructure System Restoration;ARTICLE;urban systems
25854;An exact method for the biobjective shortest path problem for large-scale road networks;ARTICLE;transportation systems
599;Hybrid algorithm for route design on bus rapid transit systems;ARTICLE;transportation systems
25856;Solving the Orienteering Problem with Time Windows via the Pulse Framework;ARTICLE;transportation systems
22730;Acceleration strategies for the weight constrained shortest path problem with replenishment;ARTICLE;transportation systems
8906;On the optimal parking lot subscription policy problem: a hybrid simulation-optimization approach;ARTICLE;urban systems
9844;Scheduling of parallel machines with sequence-dependent batches and product incompatibilities in an automotive glass facility;ARTICLE;production systems
309;A matheuristic for the truck and trailer routing problem;ARTICLE;transportation systems
298;A parallel matheuristic for the technician routing and scheduling problem;ARTICLE;transportation systems
314;A review of dynamic vehicle routing problems;ARTICLE;transportation systems
341;An improved robust topology optimization approach using multiobjective evolutionary algorithms;ARTICLE;production systems
752;On an exact method for the constrained shortest path problem;ARTICLE;transportation systems
9914;Sustainable workforce scheduling in construction program management;ARTICLE;sustainable systems
10118;An event-driven optimization framework for dynamic vehicle routing;ARTICLE;transportation systems
